Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,"Downlink_Start","Downlink_Stop"
Gujarat,"800",419.31,Reliance Jio,829.935,831.165,874.935,876.165
,,,,839.445,840.675,884.445,885.675
,,,,840.675,841.905,885.675,886.905
,,,,841.905,843.135,886.905,888.135
Punjab,"800",170.86,,825.945,827.175,870.945,872.175
,,,,827.175,828.405,872.175,873.405
,,,,828.405,829.635,873.405,874.635
Rajasthan,800,289.98,,827.175,828.405,872.175,873.405
,,,,828.405,829.635,873.405,874.635
,,,,829.635,830.865,874.635,875.865
,,,,830.865,832.095,875.865,877.095
"Uttar Pradesh (E)","800",273.75,,825.945,827.175,870.945,872.175
"Andhra Pradesh","1800",48.6,TTSL,1741.7,1741.9,1836.7,1836.9
,,,,1741.9,1742.1,1836.9,1837.1
,,,,1742.1,1742.3,1837.1,1837.3
,,,,1742.3,1742.5,1837.3,1837.5
,,,,1742.5,1742.7,1837.5,1837.7
,,,,1742.7,1742.9,1837.7,1837.9
,,,,1742.9,1743.1,1837.9,1838.1
,,,,1743.1,1743.3,1838.1,1838.3
,,,,1743.3,1743.5,1838.3,1838.5
,,,,1743.5,1743.7,1838.5,1838.7
,,,,1743.7,1743.9,1838.7,1838.9
,,,,1743.9,1744.1,1838.9,1839.1
Assam,1800,8,Bharti Airtel,1743.7,1743.9,1838.7,1838.9
,,,,1743.9,1744.1,1838.9,1839.1
,,,,1744.1,1744.3,1839.1,1839.3
,,,,1744.3,1744.5,1839.3,1839.5
,,,,1744.5,1744.7,1839.5,1839.7
,,,,1744.7,1744.9,1839.7,1839.9
,,,,1744.9,1745.1,1839.9,1840.1
,,,,1745.1,1745.3,1840.1,1840.3
,,,,1745.3,1745.5,1840.3,1840.5
,,,,1745.5,1745.7,1840.5,1840.7
,,,,1745.7,1745.9,1840.7,1840.9
,,,,1745.9,1746.1,1840.9,1841.1
,,,,1746.1,1746.3,1841.1,1841.3
,,,,1746.3,1746.5,1841.3,1841.5
,,,,1746.5,1746.7,1841.5,1841.7
,,,,1746.7,1746.9,1841.7,1841.9
,,,,1746.9,1747.1,1841.9,1842.1
,,,,1747.1,1747.3,1842.1,1842.3
,,,,1747.3,1747.5,1842.3,1842.5
,,,Idea,1738.7,1738.9,1833.7,1833.9
,,,,1738.9,1739.1,1833.9,1834.1
,,,,1739.1,1739.3,1834.1,1834.3
,,,,1739.3,1739.5,1834.3,1834.5
,,,,1739.5,1739.7,1834.5,1834.7
,,,,1739.7,1739.9,1834.7,1834.9
,,,,1739.9,1740.1,1834.9,1835.1
,,,,1740.1,1740.3,1835.1,1835.3
,,,,1740.3,1740.5,1835.3,1835.5
,,,,1740.5,1740.7,1835.5,1835.7
,,,,1740.7,1740.9,1835.7,1835.9
,,,,1740.9,1741.1,1835.9,1836.1
,,,,1741.1,1741.3,1836.1,1836.3
,,,,1741.3,1741.5,1836.3,1836.5
,,,,1741.5,1741.7,1836.5,1836.7
,,,,1741.7,1741.9,1836.7,1836.9
,,,,1741.9,1742.1,1836.9,1837.1
,,,,1742.1,1742.3,1837.1,1837.3
,,,,1742.3,1742.5,1837.3,1837.5
,,,,1742.5,1742.7,1837.5,1837.7
,,,,1742.7,1742.9,1837.7,1837.9
,,,,1742.9,1743.1,1837.9,1838.1
,,,,1743.1,1743.3,1838.1,1838.3
,,,,1743.3,1743.5,1838.3,1838.5
,,,,1743.5,1743.7,1838.5,1838.7
,,,Vodafone,1730.7,1730.9,1825.7,1825.9
,,,,1730.9,1731.1,1825.9,1826.1
,,,,1731.1,1731.3,1826.1,1826.3
,,,,1731.3,1731.5,1826.3,1826.5
,,,,1731.5,1731.7,1826.5,1826.7
,,,,1731.7,1731.9,1826.7,1826.9
,,,,1731.9,1732.1,1826.9,1827.1
,,,,1732.1,1732.3,1827.1,1827.3
,,,,1732.3,1732.5,1827.3,1827.5
,,,,1732.5,1732.7,1827.5,1827.7
,,,,1732.7,1732.9,1827.7,1827.9
,,,,1732.9,1733.1,1827.9,1828.1
,,,,1733.1,1733.3,1828.1,1828.3
,,,,1733.3,1733.5,1828.3,1828.5
,,,,1733.5,1733.7,1828.5,1828.7
,,,,1733.7,1733.9,1828.7,1828.9
,,,,1733.9,1734.1,1828.9,1829.1
,,,,1734.1,1734.3,1829.1,1829.3
,,,,1734.3,1734.5,1829.3,1829.5
,,,,1734.5,1734.7,1829.5,1829.7
,,,,1734.7,1734.9,1829.7,1829.9
,,,,1734.9,1735.1,1829.9,1830.1
,,,,1735.1,1735.3,1830.1,1830.3
,,,,1735.3,1735.5,1830.3,1830.5
,,,,1735.5,1735.7,1830.5,1830.7
,,,,1735.7,1735.9,1830.7,1830.9
,,,,1735.9,1736.1,1830.9,1831.1
,,,,1736.1,1736.3,1831.1,1831.3
,,,,1736.3,1736.5,1831.3,1831.5
,,,,1736.5,1736.7,1831.5,1831.7
,,,,1736.7,1736.9,1831.7,1831.9
,,,,1736.9,1737.1,1831.9,1832.1
,,,,1737.1,1737.3,1832.1,1832.3
,,,,1737.3,1737.5,1832.3,1832.5
,,,,1737.5,1737.7,1832.5,1832.7
,,,,1737.7,1737.9,1832.7,1832.9
,,,,1737.9,1738.1,1832.9,1833.1
,,,,1738.1,1738.3,1833.1,1833.3
