Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,Downlink_Start,Downlink_Stop
Punjab,1800,12.2,Bharti Airtel,1750.7,1750.9,1845.7,1845.9
,,,,1750.9,1751.1,1845.9,1846.1
,,,,1751.1,1751.3,1846.1,1846.3
,,,,1751.3,1751.5,1846.3,1846.5
,,,,1751.5,1751.7,1846.5,1846.7
,,,,1751.7,1751.9,1846.7,1846.9
,,,,1751.9,1752.1,1846.9,1847.1
,,,,1752.1,1752.3,1847.1,1847.3
,,,,1752.3,1752.5,1847.3,1847.5
,,,,1752.5,1752.7,1847.5,1847.7
,,,,1752.7,1752.9,1847.7,1847.9
,,,,1752.9,1753.1,1847.9,1848.1
,,,,1753.1,1753.3,1848.1,1848.3
,,,,1753.3,1753.5,1848.3,1848.5
,,,,1753.5,1753.7,1848.5,1848.7
,,,,1753.7,1753.9,1848.7,1848.9
,,,,1753.9,1754.1,1848.9,1849.1
,,,,1754.1,1754.3,1849.1,1849.3
,,,,1754.3,1754.5,1849.3,1849.5
,,,,1754.5,1754.7,1849.5,1849.7
,,,,1754.7,1754.9,1849.7,1849.9
,,,,1754.9,1755.1,1849.9,1850.1
,,,,1755.1,1755.3,1850.1,1850.3
,,,,1755.3,1755.5,1850.3,1850.5
,,,,1755.5,1755.7,1850.5,1850.7
Rajasthan,1800,16.8,Bharti Airtel,1751.7,1751.9,1846.7,1846.9
,,,,1751.9,1752.1,1846.9,1847.1
,,,,1752.1,1752.3,1847.1,1847.3
,,,,1752.3,1752.5,1847.3,1847.5
,,,,1752.5,1752.7,1847.5,1847.7
,,,,1752.7,1752.9,1847.7,1847.9
,,,,1752.9,1753.1,1847.9,1848.1
,,,,1753.1,1753.3,1848.1,1848.3
,,,,1753.3,1753.5,1848.3,1848.5
,,,,1753.5,1753.7,1848.5,1848.7
,,,,1753.7,1753.9,1848.7,1848.9
,,,,1753.9,1754.1,1848.9,1849.1
,,,,1754.1,1754.3,1849.1,1849.3
,,,,1754.3,1754.5,1849.3,1849.5
,,,,1754.5,1754.7,1849.5,1849.7
,,,,1754.7,1754.9,1849.7,1849.9
,,,,1754.9,1755.1,1849.9,1850.1
,,,,1755.1,1755.3,1850.1,1850.3
,,,,1755.3,1755.5,1850.3,1850.5
,,,,1755.5,1755.7,1850.5,1850.7
,,,,1755.7,1755.9,1850.7,1850.9
,,,,1755.9,1756.1,1850.9,1851.1
