Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,"Downlink_Start","Downlink_Stop"
Andhra Pradesh,800,487.5,Reliance Jio,825.95,827.18,870.945,872.175
,,,,827.18,828.41,872.175,873.405
,,,,828.41,829.64,873.405,874.635
,,,,829.64,830.87,874.635,875.865
,,,,835.46,836.69,880.455,881.685
Bihar,800,170,Reliance Jio,833,834.23,877.995,879.225
,,,,834.23,835.46,879.225,880.455
,,,,835.46,836.69,880.455,881.685
,,,,836.69,837.92,881.685,882.915
Delhi,800,800,Reliance Jio,829.94,831.17,874.935,876.165
,,,,831.17,832.4,876.165,877.395
,,,,832.4,833.63,877.395,878.625
,,,,833.63,834.86,878.625,879.855
,,,,824.42,825.65,869.415,870.645
,,,,825.65,826.88,870.645,871.875
,,,,826.88,828.11,871.875,873.105
Gujarat,800,481.25,Reliance Jio,824.42,825.65,869.415,870.645
,,,,825.65,826.88,870.645,871.875
,,,,829.94,831.17,874.935,876.165
,,,,831.17,832.4,876.165,877.395
Haryana,800,71.25,Bharti Airtel Limited,824.42,825.65,869.415,870.645
,,,,825.95,827.18,870.945,872.175
,,,,833.93,835.16,878.925,880.155
,,,Reliance Jio,827.48,828.71,872.475,873.705
,,,,828.71,829.94,873.705,874.935
,,,,829.94,831.17,874.935,876.165
,,,,832.7,833.93,877.695,878.925
Himachal Pradesh,800,30,Reliance Jio,825.95,827.18,870.945,872.175
,,,,827.18,828.41,872.175,873.405
,,,,828.41,829.64,873.405,874.635
,,,,829.94,831.17,874.935,876.165
Karnataka,800,240,Reliance Jio,835.46,836.69,880.455,881.685
,,,,836.69,837.92,881.685,882.915
,,,,837.92,839.15,882.915,884.145
,,,,839.15,840.38,884.145,885.375
,,,,824.42,825.65,869.415,870.645
,,,,825.65,826.88,870.645,871.875
,,,,829.94,831.17,874.935,876.165
,,,,831.17,832.4,876.165,877.395
Kerala,800,196.25,Reliance Jio,835.46,836.69,880.455,881.685
,,,,836.69,837.92,881.685,882.915
,,,,837.92,839.15,882.915,884.145
,,,,839.15,840.38,884.145,885.375
,,,,824.42,825.65,869.415,870.645
,,,,825.65,826.88,870.645,871.875
,,,,826.88,828.11,871.875,873.105
,,,,829.94,831.17,874.935,876.165
Kolkata,800,200,Reliance Jio,838.52,839.75,883.515,884.745
,,,,839.75,840.98,884.745,885.975
,,,,840.98,842.21,885.975,887.205
,,,,842.21,843.44,887.205,888.435
,,,,825.95,827.18,870.945,872.175
,,,,827.18,828.41,872.175,873.405
,,,,828.71,829.94,873.705,874.935
,,,,829.94,831.17,874.935,876.165
Madhya Pradesh,800,178.75,Bharti Airtel Limited,824.42,825.65,869.415,870.645
,,,,825.65,826.88,870.645,871.875
,,,,827.48,828.71,872.475,873.705
,,,,828.71,829.94,873.705,874.935
,,,Reliance Jio,835.46,836.69,880.455,881.685
,,,,836.69,837.92,881.685,882.915
,,,,837.92,839.15,882.915,884.145
,,,,839.15,840.38,884.145,885.375
Maharashtra,800,637.5,Bharti Airtel Limited,832.7,833.93,877.695,878.925
,,,,833.93,835.16,878.925,880.155
,,,Reliance Jio,827.48,828.71,872.475,873.705
,,,,828.71,829.94,873.705,874.935
,,,,829.94,831.17,874.935,876.165
,,,,831.17,832.4,876.165,877.395
,,,,835.76,836.99,880.755,881.985
